date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-09-14,sh.600000,9.9500,9.9500,9.8600,9.9000,9.9200,38851230,384257705.8000,3,0.132400,1,-0.201600,5.211372,1.494047,2.198828,0.578631,0
2020-09-15,sh.600000,9.9100,9.9200,9.8500,9.8600,9.9000,46601549,459933677.8500,3,0.158800,1,-0.404000,5.190316,1.488010,2.189944,0.576293,0
2020-09-16,sh.600000,9.8700,9.9000,9.8000,9.8600,9.8600,51470657,507227129.4500,3,0.175400,1,0.000000,5.190316,1.488010,2.189944,0.576293,0
2020-09-17,sh.600000,9.8700,9.8900,9.8000,9.8300,9.8600,43171675,424496711.8200,3,0.147100,1,-0.304300,5.174524,1.483483,2.183281,0.574540,0
2020-09-18,sh.600000,9.8400,9.9400,9.8000,9.9400,9.8300,95230581,941630507.9200,3,0.324400,1,1.119000,5.232428,1.500083,2.207712,0.580969,0
2020-09-21,sh.600000,9.9400,9.9700,9.8300,9.8400,9.9400,55998716,553037614.4800,3,0.190800,1,-1.006000,5.179788,1.484992,2.185502,0.575124,0
2020-09-22,sh.600000,9.8100,9.8400,9.6900,9.7000,9.8400,65952098,643194146.4000,3,0.224700,1,-1.422800,5.106092,1.463864,2.154407,0.566941,0
2020-09-23,sh.600000,9.7100,9.7200,9.6200,9.6300,9.7000,41909587,404393340.1600,3,0.142800,1,-0.721600,5.069244,1.453300,2.138860,0.562850,0
2020-09-24,sh.600000,9.6100,9.6200,9.4600,9.5000,9.6300,53858739,512493256.0400,3,0.183500,1,-1.349900,5.000812,1.433681,2.109986,0.555252,0
2020-09-25,sh.600000,9.5000,9.5300,9.4600,9.4700,9.5000,29487505,279750442.3200,3,0.100500,1,-0.315800,4.985019,1.429154,2.103323,0.553498,0
2020-09-28,sh.600000,9.4900,9.5300,9.4600,9.4600,9.4700,26257827,249063489.4100,3,0.089500,1,-0.105600,4.979755,1.427645,2.101102,0.552914,0
2020-09-29,sh.600000,9.5000,9.5200,9.4300,9.4300,9.4600,32988266,312583584.9800,3,0.112400,1,-0.317100,4.963963,1.423117,2.094439,0.551161,0
2020-09-30,sh.600000,9.4500,9.4900,9.3500,9.3900,9.4300,39006807,367745388.5700,3,0.132900,1,-0.424200,4.942907,1.417081,2.085555,0.548823,0
2020-10-09,sh.600000,9.4400,9.4800,9.4000,9.4200,9.3900,39772687,375559366.0100,3,0.135500,1,0.319500,4.958699,1.421608,2.092218,0.550576,0
2020-10-12,sh.600000,9.4500,9.6300,9.4200,9.5900,9.4200,66671637,637356691.4000,3,0.227100,1,1.804700,5.048188,1.447264,2.129976,0.560512,0
2020-10-13,sh.600000,9.5800,9.5900,9.5200,9.5400,9.5900,28059097,267595710.6100,3,0.095600,1,-0.521400,5.021868,1.439718,2.118871,0.557590,0
2020-10-14,sh.600000,9.5400,9.5600,9.5000,9.5300,9.5400,42969217,409511681.6600,3,0.146400,1,-0.104800,5.016604,1.438209,2.116650,0.557005,0
